Nitawade-meter,Nitawade-cusecs,Balinge-meter,Balinge-cusecs,Shingnapur-meter,Shingnapur-cusecs,RB-Meter,RB-visarg-cusecs,Ichalkaranji-meter,Ichalkaranji-cusecs
543.0838156,32587,541.3,33201,541.2,33258,540.07,33285,543.5,32022
542.6703764,32052,541.3,32979,540.9,33054,539.99,33147,543,32022
543.280482,32523,541.3,33102,541.1,33117,539.99,33147,541.5,31709
542.9915058,32296,540.99,32994,540,33020,539.94,33055,546,31836
543.4229846,32107,541.45,32961,541.4,33037,539.94,33054,539,31652
543.679387,31989,541.91,32808,541.05,32894,539.89,32945,544,31679
541.3139393,32254,540.08,32828,540.3,32886,539.86,32891,547,31673
544.0336393,32201,542.21,32718,541,32740,539.84,32837,547,31738
542.0086295,32092,540.69,32766,539.09,32834,539.84,32837,546,31525
542.6202866,32114,541.3,32712,540.01,32722,539.81,32782,546,31448
541.7512726,31796,540.38,32708,541.1,32765,539.79,32778,542.5,31377
542.5447656,31657,541.15,32604,541.2,32654,539.79,32728,542,31416
542.0901408,32072,540.38,32612,541,32702,539.79,32728,541.5,31689
542.8909399,32025,540.99,32612,540,32664,539.76,32674,541,31495
542.3067468,32027,540.99,32600,539.8,32614,539.74,32619,546,31173
542.284678,31850,540.99,32407,540.5,32501,539.71,32565,541.8333333,31164
541.2313312,31363,539.47,32248,540,32305,539.63,32402,543,31101
542.8535482,31615,540.99,32360,539.07,32395,539.63,32401,542.5,31123
542.4783677,31679,540.69,32256,540,32332,539.63,32401,542,31024
541.916019,30769,540.38,31439,540.5,31478,539.51,31556,541,30073
542.5836499,30638,540.69,31251,540.5,31317,539.48,31387,544.0833333,30232
542.6134799,30389,540.99,31370,540.07,31385,539.48,31386,544,30132
542.5058121,30260,540.69,31102,538.2,31200,539.46,31211,540.1666667,29731
543.6074646,30040,541.6,30999,539,31000,539.43,31036,542,29620
542.4563237,29380,540.99,30207,540.04,30261,539.33,30336,542.5,28890
542.3734986,29555,540.38,30252,539.05,30304,539.33,30335,544,28928
542.2828985,28924,540.69,29917,540,29981,539.28,29991,546,28883
541.4668476,29126,539.62,29900,540,29934,539.28,29991,546,28919
542.676796,28910,540.69,29484,540.06,29570,593.23,29647,544.25,28405
542.0958528,28800,540.69,29400,540.05,29425,539.2,29475,544.0833333,28122
542.3608194,28676,540.54,29357,539,29429,539.2,29475,543.25,28185
543.1961495,28299,541.3,29181,540.09,29235,539.18,29303,543,27853
541.8113194,28184,540.38,29142,540.6,29229,539.18,29303,543,28199
542.8089383,28098,540.99,29026,540.8,29097,539.15,29131,541.75,28121
542.3683587,28203,540.99,28878,539,28897,539.13,28958,545.5,27459
542.4370999,27904,540.69,28629,539,28710,539.1,28786,541,27489
542.3516771,27931,540.38,28741,538,28761,539.1,28786,540.8333333,27437
542.2831202,27894,540.69,28667,541,28736,539.1,28786,542,27442
542.6370793,27564,540.69,28538,540.04,28585,539.08,28614,543,27367
542.3362274,27436,540.99,28351,539,28371,539.05,28442,542.5,27106
541.7154699,27647,540.38,28155,541,28219,539.02,28270,544.0833333,27122
541.50295,27492,540.23,28117,540,28174,539.02,28270,544,26774
541.7900784,27625,540.08,28132,540.2,28217,539.02,28270,543,27245
541.4973731,26963,540.08,27845,540.4,27847,538.97,27925,542,26841
541.5864747,26929,540.08,27779,540.5,27836,538.97,27925,541.5,26484
542.0039647,27045,540.38,27799,540.5,27892,538.97,27925,548,26641
542.4835892,26665,540.69,27618,540.5,27718,538.95,27753,544,26425
541.1462793,26839,539.47,27621,540,27673,538.95,27753,543.5,26288
542.2649395,26963,540.99,27489,540.5,27561,538.92,27581,543.5,26396
542.5458839,26703,540.69,27562,541,27566,538.92,27581,542,26124
542.2907124,26691,540.69,27313,540.8,27321,538.9,27409,542,26157
541.9724877,26524,540.08,27289,540.8,27344,538.9,27408,542,26276
540.8073349,26415,538.86,27112,538,27154,538.87,27230,542,26070
542.5149006,26244,540.69,26921,540.1,26971,538.85,27065,541.5,25689
542.1496709,26261,540.69,26781,540.05,26819,538.87,26892,539.1666667,25757
541.654894,25933,540.38,26743,539,26817,538.82,26892,547,25447
543.0756025,26026,541.48,26806,540.7,26863,538.82,26892,541.5,25857
542.0253616,25465,540.69,26035,540.1,26124,538.72,26203,544.25,25126
543.0796848,24857,541.3,25696,541,25760,538.67,25859,542,24499
541.1306803,24448,539.47,25411,540.2,25492,538.62,25515,540,24378
542.5817103,24153,540.69,25118,540.8,25164,538.57,25171,544,23933
542.7881935,24515,540.99,25104,538.02,25112,538.57,25170,542.5,23862
542.2378821,23661,540.69,24567,540,24651,538.49,24654,542.25,23556
542.6130549,23968,540.69,24494,540.7,24567,538.49,24654,542,23265
542.8321047,23807,540.99,24465,540.1,24467,538.47,24482,541,23006
540.4656931,22966,539.16,23959,540,24058,538.41,24137,543,23124
541.7129281,22694,540.08,23492,539.08,23578,538.36,23640,545,22428
541.0806626,22643,539.47,23581,539.8,23592,538.36,23640,545,22614
541.5494005,22833,540.08,23573,540.2,23598,538.36,23640,543,22429
542.3117906,22340,540.69,23335,539.5,23366,538.34,23391,542,22117
540.7523324,22485,539.16,23302,540,23386,538.34,23391,542,22322
540.9993063,22394,539.32,23044,538.8,23103,538.31,23143,539,22089
541.3350192,21923,539.77,22763,539.5,22833,538.29,22894,540,21659
541.4111802,22257,539.77,22860,539,22863,538.29,22894,540.5,21649
541.9653145,21753,540.38,22519,539.08,22571,538.26,22645,541,21463
542.1282036,21522,540.38,22473,539.09,22569,538.26,22645,539.75,21276
542.0003549,21632,540.38,22565,540.6,22609,538.26,22645,541,21442
541.9810884,21577,540.69,22291,539,22326,538.24,22396,544,21292
542.3270731,21481,540.69,22055,541.5,22117,538.21,22147,543,21125
541.6799968,20795,540.23,21307,540,21331,538.14,21401,543,20198
542.0341824,20639,540.08,21297,539.2,21347,538.14,21401,543,20203
540.7959364,20633,538.86,21323,540.2,21337,538.14,21401,542.25,20214
